snagid,site,plotid,group,crown,xc,yc,z_m,spp,dbh,ht,top,bark,branches,fungi,intensity,forage,insects,cavsum
BR21X4_UN01,cda,BR21X4,SI,YES,530101.3926,5292112.056,1160.17,UN,0.28,NA,INTACT,SOME,F,N,N,Y,Y,0
BR21X5_DF02,cda,BR21X5,SB,NO,530805.8389,5288194.816,1325.72,DF,0.38,2.87,BT,SOME,N,N,N,Y,Y,0
BR21X5_DF03,cda,BR21X5,LB,NO,530800.113,5288186.116,1329.28,DF,0.55,14.16,BT,SOME,C,Y,S,Y,Y,2
BR21X5_DF04,cda,BR21X5,SB,NO,530771.8831,5288194.413,1333.87,DF,0.22,2.48,BT,FULL,N,N,S,Y,Y,0
BR21X5_DF05,cda,BR21X5,LB,NO,530777.363,5288207.113,1334.65,DF,0.53,10.57,BT,FULL,N,Y,S,Y,Y,0
BR21X5_GF01,cda,BR21X5,LI,YES,530799.5954,5288213.01,1322.37,GF,0.59,38.44,INTACT,FULL,F,Y,S,Y,Y,0
BR21X5_GF02,cda,BR21X5,SB,NO,530812.4378,5288208.521,1315.85,GF,0.27,12.4,BT,SOME,N,N,S,N,Y,0
BR21X5_GF05,cda,BR21X5,LB,NO,530807.9513,5288178.155,1335.45,GF,0.54,4.52,BT,SOME,N,N,S,N,Y,0
BR21X5_GF06,cda,BR21X5,LB,NO,530808.1331,5288186.27,1355.56,GF,0.57,14.65,BT,SOME,C,N,S,Y,Y,0
BR21X5_GF07,cda,BR21X5,SB,NO,530775.8819,5288189.544,1332.23,GF,0.27,14.53,BT,SOME,N,N,N,Y,Y,0
BR21X6_GF01,cda,BR21X6,LI,YES,533698.7408,5286409.248,1363.02,GF,0.59,37.37,INTACT,FULL,M,Y,H,N,Y,0
BR21X6_GF02,cda,BR21X6,LB,NO,533702.8917,5286378.819,1359.39,GF,0.56,4.97,BT,NONE,N,N,S,Y,Y,3
BR21X6_GF03,cda,BR21X6,LB,NO,533681.01,5286376.358,1368.94,GF,0.5,10.94,BT,NONE,N,N,N,Y,Y,1
BR220O_GF01,cda,BR220O,LI,NO,539890.3462,5294736.655,1023.56,GF,0.41,NA,INTACT,NONE,N,N,N,N,Y,0
BR220O_GF02,cda,BR220O,LI,YES,539892.5127,5294759.122,1032.85,GF,0.42,23.35,INTACT,FULL,M,Y,S,Y,Y,0
BR220O_WH01,cda,BR220O,LB,NO,539900.2983,5294759.398,1026.06,WH,0.44,17.04,BT,SOME,C,Y,N,Y,Y,0
BR220P_WL03,cda,BR220P,SI,NO,531218.0451,5295110.093,1166.67,WL,0.27,11,INTACT,FULL,N,N,S,Y,Y,0
BR220P_WL04,cda,BR220P,SI,NO,531212.7275,5295124.291,1204.33,WL,0.2,9,INTACT,FULL,N,N,S,Y,Y,0
BR220P_WL05,cda,BR220P,SB,NO,531208.9696,5295126.938,1194.56,WL,0.33,9,BT,SOME,N,N,S,Y,Y,0
BR220P_WL07,cda,BR220P,SI,YES,531201.098,5295114.892,1191.49,WL,0.3,14,INTACT,FULL,M,N,S,Y,Y,0
BR220Q_DF03,cda,BR220Q,LI,YES,533497.1678,5297868.02,1200.96,DF,0.52,39.35,INTACT,FULL,F,Y,S,N,Y,0
BR220Q_DF05,cda,BR220Q,LB,YES,533488.0746,5297861.632,1131.8,DF,0.41,8.53,BT,SOME,M,Y,N,Y,Y,0
BR221A_DF01,cda,BR221A,LI,YES,532212.9659,5306877.155,914.07,DF,0.64,NA,INTACT,FULL,F,N,N,N,UNK,0
BR221A_GF01,cda,BR221A,LB,NO,532212.9659,5306877.155,914.07,GF,0.59,NA,BT,FULL,N,Y,N,N,UNK,0
BR221A_GF02,cda,BR221A,LB,NO,532231.5948,5306859.587,940.93,GF,0.41,NA,BT,FULL,N,Y,N,Y,UNK,0
BR221E_DF01,cda,BR221E,LB,NO,530331.7113,5291188.092,1160.59,DF,0.44,5.27,BT,FULL,N,N,S,Y,Y,0
BR221E_GF01,cda,BR221E,LI,NO,530370.2396,5291184.737,1159.93,GF,0.64,36.61,INTACT,FULL,C,Y,S,UNK,N,0
BR221E_WL01,cda,BR221E,SB,NO,530353.7456,5291201.1,1146.05,WL,0.4,18.23,BT,SOME,N,N,S,N,Y,0
BR221E_WL03,cda,BR221E,LB,NO,530361.5393,5291186.47,1147.74,WL,0.5,NA,BT,NONE,N,N,N,Y,Y,5
